size,time
100,0.034374237060546875
200,0.03171133995056152
300,0.03176474571228027
400,0.04984641075134277
500,0.07857918739318848
600,0.0668795108795166
700,0.11548066139221191
800,0.10722470283508301
900,0.07606887817382812
1000,0.07446861267089844
1100,0.07878899574279785
1200,0.09995627403259277
1300,0.0827176570892334
1400,0.0847780704498291
1500,0.10886192321777344
1600,0.08646154403686523
1700,0.09792399406433105
1800,0.13778948783874512
1900,0.20295953750610352
2000,0.19382572174072266
2100,0.15833711624145508
2200,0.11929583549499512
2300,0.10830140113830566
2400,0.11948490142822266
2500,0.11321592330932617
2600,0.16269159317016602
2700,0.12377452850341797
2800,0.13068866729736328
2900,0.15642309188842773
3000,0.15601229667663574
3100,0.16719436645507812
3200,0.10476040840148926
3300,0.14551830291748047
3400,0.18088912963867188
3500,0.11945652961730957
3600,0.1517472267150879
3700,0.20083308219909668
3800,0.19481492042541504
3900,0.22780728340148926
4000,0.22319698333740234
4100,0.254518985748291
4200,0.22731471061706543
4300,0.23079872131347656
4400,0.19856977462768555
4500,0.2133791446685791
4600,0.26309943199157715
4700,0.22881555557250977
4800,0.25478172302246094
4900,0.2640533447265625
5000,0.2622365951538086
5100,0.25862979888916016
5200,0.283933162689209
5300,0.23766613006591797
5400,0.24778223037719727
5500,0.2679927349090576
5600,0.273160457611084
5700,0.2497706413269043
5800,0.2767024040222168
5900,0.2712118625640869
6000,0.2331070899963379
6100,0.23048710823059082
6200,0.2747368812561035
6300,0.21079540252685547
6400,0.32497286796569824
6500,0.24237728118896484
6600,0.24407291412353516
6700,0.25415539741516113
6800,0.2663004398345947
6900,0.23270702362060547
7000,0.23838257789611816
