,component 0,component 1,component 2,component 3,component 4
MCA,0.2589714909725994,0.1251132277764982,0.0870033493710382,0.0516387056754066,0.0459346332120555
PCA,0.2107018171654489,0.1224832653742204,0.078905327214992,0.0640914483771027,0.0555920003349534
FAMD,0.3228440158246624,0.1942461049560977,0.0790879340800002,0.0396672935537283,0.0349257946080252
PCAohe,0.2323668561589799,0.1308550366187172,0.089300640158685,0.0538509403739903,0.0449704258767568
MFA,0.2457021809687568,0.16857398278097477,0.11663758239747579,0.08989994490897084,0.042391159891799514
